Director,Duration (mins),Metascore,Name,Rank,Rating,Year
Frank Darabont,142,82,The Shawshank Redemption,1,9.3,1994
Francis Ford Coppola,175,100,The Godfather,2,9.2,1972
Christopher Nolan,152,84,The Dark Knight,3,9,2008
Oskar Schindler,195,95,Schindler's List,6,9,1993
Peter Jackson,201,94,The Lord of the Rings: The Return of the King,7,9,2003
Sidney Lumet,96,97,12 Angry Men,5,9,1957
Francis Ford Coppola,202,90,The Godfather Part II,4,9,1974
Quentin Tarantino,154,95,Pulp Fiction,8,8.9,1994
Christopher Nolan,148,74,Inception,14,8.8,2010
Peter Jackson,178,92,The Lord of the Rings: The Fellowship of the Ring,9,8.8,2001
David Fincher,139,66,Fight Club,12,8.8,1999
Robert Zemeckis,142,82,Forrest Gump,11,8.8,1994
Peter Jackson,179,87,The Lord of the Rings: The Two Towers,13,8.8,2002
Sergio Leone,161,90,"Il buono, il brutto, il cattivo",10,8.8,1966
Lana Wachowski,136,73,The Matrix,16,8.7,1999
Henry Hill,145,91,GoodFellas,17,8.7,1990
Milos Forman,133,84,One Flew Over the Cuckoo's Nest,18,8.7,1975
Irvin Kershner,124,82,The Empire Strikes Back,15,8.7,1980
Christopher Nolan,169,74,Interstellar,25,8.6,2014
David Fincher,127,65,Se7en,19,8.6,1995
Jonathan Demme,118,86,The Silence of the Lambs,22,8.6,1991
George Lucas,121,90,Star Wars,28,8.6,1977
James Cameron,137,75,Terminator 2: Judgment Day,29,8.6,1991
Frank Darabont,189,61,The Green Mile,27,8.6,1999
Hayao Miyazaki,125,96,Sen to Chihiro no kamikakushi,31,8.6,2001
Steven Spielberg,169,91,Saving Private Ryan,23,8.6,1998
Fernando Meirelles,130,79,Cidade de Deus,24,8.6,2002
Roberto Benigni,116,59,La vita è bella,26,8.6,1997
Akira Kurosawa,207,98,Shichinin no samurai,21,8.6,1954
Frank Capra,130,89,It's a Wonderful Life,20,8.6,1946
Masaki Kobayashi,133,85,Seppuku,45,8.6,1962
Ridley Scott,155,67,Gladiator,37,8.5,2000
Bong Joon Ho,132,96,Gisaengchung,34,8.5,2019
Damien Chazelle,106,89,Whiplash,40,8.5,2014
Martin Scorsese,151,85,The Departed,39,8.5,2006
Robert Zemeckis,116,87,Back to the Future,30,8.5,1985
Christopher Nolan,130,66,The Prestige,41,8.5,2006
Ridley Scott,117,89,Alien,51,8.5,1979
Luc Besson,110,64,Léon,35,8.5,1994
Alfred Hitchcock,109,97,Psycho,33,8.5,1960
Francis Ford Coppola,147,94,Apocalypse Now,53,8.5,1979
Roger Allers,88,88,The Lion King,36,8.5,1994
Roman Polanski,150,85,The Pianist,32,8.5,2002
Bryan Singer,106,77,The Usual Suspects,42,8.5,1995
Tony Kaye,119,62,American History X,38,8.5,1998
Olivier Nakache,112,57,The Intouchables,46,8.5,2011
Sergio Leone,165,82,Once Upon a Time in the West,48,8.5,1968
Michael Curtiz,102,100,Casablanca,43,8.5,1942
Isao Takahata,89,94,Hotaru no haka,44,8.5,1988
Alfred Hitchcock,112,100,Rear Window,50,8.5,1954
Alfred Hitchcock,112,100,Rear Window,50,8.5,1954
Giuseppe Tornatore,155,80,Nuovo Cinema Paradiso,49,8.5,1988
Charles Chaplin,87,96,Modern Times,47,8.5,1936
Charles Chaplin,87,99,City Lights,52,8.5,1931
Todd Phillips,122,59,Joker,76,8.4,I) (2019
Bob Persichetti,117,87,Spider-Man: Into the Spider-Verse,66,8.4,2018
Anthony Russo,181,78,Avengers: Endgame,78,8.4,2019
Quentin Tarantino,165,81,Django Unchained,55,8.4,2012
Sam Mendes,122,84,American Beauty,67,8.4,1999
Steven Spielberg,115,85,Raiders of the Lost Ark,56,8.4,1981
Stanley Kubrick,146,66,The Shining,61,8.4,1980
Park Chan-wook,120,77,Oldeuboi,70,8.4,2003
Makoto Shinkai,106,79,Kimi no na wa.,82,8.4,2016
Christopher Nolan,164,78,The Dark Knight Rises,69,8.4,2012
Anthony Russo,149,68,Avengers: Infinity War,63,8.4,2018
Mel Gibson,178,68,Braveheart,75,8.4,1995
Christopher Nolan,113,81,Memento,54,8.4,2000
James Cameron,137,84,Aliens,65,8.4,1986
Elem Klimov,142,,Idi i smotri,92,8.4,1985
Lee Unkrich,105,81,Coco,73,8.4,I) (2017
Andrew Stanton,98,95,WALL·E,57,8.4,2008
Wolfgang Amadeus Mozart,160,88,Amadeus,72,8.4,1984
Florian Henckel von Donnersmarck,137,89,The Lives of Others,58,8.4,2006
Rajkumar Hirani,170,67,3 Idiots,84,8.4,2009
Stanley Kubrick,95,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,68,8.4,1964
Nadine Labaki,126,75,Capharnaüm,88,8.4,2018
Wolfgang Petersen,149,86,Das Boot,77,8.4,1981
Billy Wilder,110,94,Sunset Blvd.,59,8.4,1950
Billy Wilder,116,76,Witness for the Prosecution,64,8.4,1957
Stanley Kubrick,88,90,Paths of Glory,60,8.4,1957
Charles Chaplin,125,,The Great Dictator,62,8.4,1940
Akira Kurosawa,143,90,Tengoku to jigoku,86,8.4,1963
Gus Van Sant,126,70,Good Will Hunting,81,8.3,1997
Quentin Tarantino,153,69,Inglourious Basterds,71,8.3,2009
Darren Aronofsky,102,71,Requiem for a Dream,85,8.3,2000
Stanley Kubrick,149,84,2001: A Space Odyssey,90,8.3,1968
Michel Gondry,108,89,Eternal Sunshine of the Spotless Mind,91,8.3,2004
Quentin Tarantino,99,81,Reservoir Dogs,93,8.3,1992
Sergio Leone,229,75,Once Upon a Time in America,80,8.3,1984
Thomas Vinterberg,115,77,Jagten,94,8.3,2012
John Lasseter,81,96,Toy Story,74,8.3,1995
Richard Marquand,131,58,Star Wars: Episode VI - Return of the Jedi,89,8.3,1983
T.E. Lawrence,218,100,Lawrence of Arabia,96,8.3,1962
Hayao Miyazaki,134,76,Mononoke-hime,79,8.3,1997
Lee Unkrich,103,92,Toy Story 3,87,8.3,2010
Alfred Hitchcock,128,100,Vertigo,100,8.3,1958
Orson Welles,119,100,Citizen Kane,95,8.3,1941
Alfred Hitchcock,136,98,North by Northwest,99,8.3,1959
Stanley Donen,103,99,Singin' in the Rain,83,8.3,1952
Akira Kurosawa,143,91,Ikiru,98,8.3,1952
